Learner ID,Weighted Total,Total pts,C200P1 CTGL 1,C200P2 CTGL 2,C200A1 Test 2 Essay,C200B1 Test 1 US Students,C200B1 Test 1 IMS Students,student key
02B,92.35,377.0,95.0,94.0,88.0,100.0,,98
20A,91.47276,376.34552,98.0,96.0,86.34552,96.0,,99
02B,92.15,363.0,88.0,85.0,94.0,96.0,,100
02D,89.82321,363.54643,89.0,88.0,86.54643,,100.0,101
02C,92.3,370.0,92.0,94.0,92.0,92.0,,102
02C,93.0,370.0,92.0,92.0,94.0,,92.0,103
02D,95.79866,379.79733,94.0,96.0,97.79733,,92.0,104
02C,93.2,368.0,94.0,90.0,96.0,88.0,,105
02A,91.09022,368.53147,94.79383,95.99333,89.74431,,88.0,106
02A,90.96617,369.53629,92.79467,89.49667,87.24495,100.0,,107
02C,87.6,356.0,88.0,88.0,84.0,96.0,,108
02B,89.8,356.0,92.0,88.0,92.0,84.0,,109
02B,95.55,382.0,97.0,90.0,95.0,100.0,,110
02B,89.4,358.0,92.0,92.0,90.0,84.0,,111
20A,97.12291,388.64583,97.0,95.0,96.64583,100.0,,112
02D,91.1971,372.59421,91.0,95.0,86.59421,100.0,,113
02A,83.63997,331.23014,94.39067,88.39533,88.44414,60.0,,114
02D,90.97179,370.14358,95.0,95.0,88.14358,92.0,,115
02A,90.89553,366.1829,93.99417,93.99417,90.19456,,88.0,116
02C,95.7,383.0,94.0,94.0,95.0,100.0,,117
02B,94.05,376.0,98.0,95.0,95.0,,88.0,118
04A,92.88263,372.43757,91.995,92.394,92.04857,,96.0,119
04A,85.12074,350.48187,92.49375,92.9925,80.99562,,84.0,120
04B,94.03785,373.54379,92.0,94.09725,95.44654,92.0,,121
04B,94.7924,374.185,93.095,95.191,97.899,88.0,,122
04A,95.38825,384.94417,98.0,97.09667,93.8475,96.0,,123
04B,90.5918,370.5915,94.0,94.297,86.2945,96.0,,124
04C,95.53306,380.19192,94.49833,93.39567,96.29792,,96.0,125
04C,90.05054,356.13316,95.99333,97.19533,94.9445,68.0,,126
04C,90.38775,362.79225,94.49833,90.097,90.19692,88.0,,127
04C,95.94833,388.39667,97.0,98.0,93.39667,100.0,,128
04C,90.50043,365.18749,94.49833,93.19683,89.49233,88.0,,129
04B,93.52655,379.8896,96.1985,96.9965,90.6946,96.0,,130
04A,95.998,388.49367,100.0,94.99667,93.497,100.0,,131
04C,84.62444,360.84888,94.0,94.0,72.84888,100.0,,132
04D,91.42621,364.63834,93.99417,93.7,92.94417,84.0,,133
04B,94.56143,378.38617,94.09392,93.9965,94.29575,96.0,,134
04C,95.94824,382.19183,97.0,95.99333,97.1985,92.0,,135
04D,94.76275,378.49085,95.99333,95.1,95.39752,92.0,,136
04A,96.40796,383.69033,95.99333,94.39867,97.29833,96.0,,137
04C,93.01613,371.98708,94.49833,92.29425,93.1945,92.0,,138
04B,95.9215,387.643,96.1,97.9,93.643,100.0,,139
04B,93.38153,378.99096,94.0,94.897,90.09396,100.0,,140
04D,86.92078,352.03544,94.09125,91.9,86.04419,,80.0,141
04A,95.87152,384.38575,95.99333,93.49625,94.89617,100.0,,142
04D,95.67619,382.78983,95.09633,96.1,95.5935,96.0,,143
04B,94.4091,382.794,95.0,96.394,91.4,100.0,,144
04B,93.69003,373.67858,93.09225,94.19133,94.395,92.0,,145
04C,91.54858,375.39484,94.99667,94.0,86.39817,100.0,,146
04C,94.94708,381.14125,94.0,93.49583,93.64542,100.0,,147
04B,92.23696,366.23441,95.09308,95.99333,95.148,,80.0,148
04D,87.97137,354.13942,93.09525,92.9,88.14417,,80.0,149
04B,94.07462,383.38714,96.0,97.197,90.19014,100.0,,150
04D,93.64226,372.89225,92.09675,94.2,94.5955,92.0,,151
04D,96.69758,390.94517,98.4,98.1,94.44517,100.0,,152
04A,83.64121,334.78822,96.89533,94.39867,87.49422,56.0,,153
21A,89.36311,359.44249,94.49833,95.09633,89.84783,80.0,,154
04A,95.36614,382.58343,95.99333,95.794,94.7961,96.0,,155
04A,90.91967,364.1306,91.995,92.9925,91.1431,88.0,,156
04B,90.99612,367.73601,93.09458,93.3965,89.24493,92.0,,157
04D,93.80168,375.88894,94.99367,91.7,93.19527,96.0,,158
04A,89.47028,360.93298,94.99667,92.9925,88.94381,84.0,,159
04D,95.14693,386.09386,98.1,95.9,92.09386,100.0,,160
04A,94.97702,382.74009,95.39533,94.299,93.04576,100.0,,161
04A,90.01392,359.47712,93.99417,93.7905,91.69245,80.0,,162
04A,96.24687,387.5885,100.0,92.9925,94.596,100.0,,163
04A,95.45355,383.0971,98.0,97.7,95.3971,92.0,,164
04C,93.43692,374.44128,94.0,95.09633,93.34495,92.0,,165
04D,94.58664,378.49025,96.49567,95.1,94.89458,92.0,,166
04B,87.68205,354.18671,93.19867,93.69075,87.29729,80.0,,167
04D,96.06741,383.99483,96.0,95.8,96.19483,96.0,,168
04A,93.20668,368.28567,91.995,92.394,95.89667,88.0,,169
04D,95.63187,383.89375,96.5,96.4,94.99375,96.0,,170
04C,95.39646,382.08592,94.99667,95.99333,95.09592,96.0,,171
04D,80.21592,335.438,94.5945,93.7,75.1435,72.0,,172
04B,87.30227,360.1865,96.096,93.5925,82.498,,88.0,173
04C,95.6176,381.691,95.495,94.299,95.897,96.0,,174
04D,91.51565,367.98519,94.99125,93.8,91.19394,88.0,,175
04D,95.46187,379.8385,92.9925,94.6,96.246,96.0,,176
04C,94.54725,381.04334,94.49833,94.0,92.54501,100.0,,177
05D,95.6657,378.683,94.79383,93.99417,97.895,92.0,,178
05B,80.94704,335.59408,91.0,92.0,76.59408,,76.0,179
