SG,Wt_total,Total_pts,CTGL_1,CTGL_2,Essay,BB_exam_us,BB_exam_ims,student_key,Combined_Scores
08B,96.42271,388.29542,97.0,96.5,94.79542,100.0,,370,100.0
08D,91.41925,361.73325,92.9925,94.0,94.74075,80.0,,371,80.0
08A,92.07108,364.94217,88.0,88.0,92.94217,,96.0,372,96.0
08C,88.29019,354.33012,94.19433,94.591,89.54479,76.0,,373,76.0
08B,96.14587,389.25375,98.0,97.66,93.59375,100.0,,374,100.0
08A,96.7,385.0,94.0,94.0,97.0,100.0,,375,100.0
08B,98.04721,395.85642,100.0,99.66,96.19642,100.0,,376,100.0
08C,95.73166,382.6875,94.19367,96.698,95.79583,96.0,,377,96.0
08D,93.8195,381.332,94.99667,95.99333,90.342,100.0,,378,100.0
08B,95.92141,384.35483,98.0,98.16,96.19483,92.0,,379,92.0
08C,91.23115,368.03671,90.0,89.392,88.64471,100.0,,380,100.0
08C,95.72721,383.18608,92.49375,95.69433,94.998,100.0,,381,100.0
08A,94.0,375.4,91.0,91.0,93.4,100.0,,382,100.0
08C,93.89721,372.58859,95.495,96.49667,96.59692,84.0,,383,84.0
08D,93.4195,376.7855,95.495,97.0,92.2905,92.0,,384,92.0
08C,98.25365,392.441,96.691,97.5,98.25,100.0,,385,100.0
08D,90.29687,365.292,94.0,90.9975,88.2945,92.0,,386,92.0
08D,90.37029,366.43533,91.995,90.9975,87.44283,,96.0,387,96.0
08A,90.84751,360.09502,88.0,88.0,92.09502,,92.0,388,92.0
08B,87.67108,353.05417,95.0,97.16,88.89417,,72.0,389,72.0
08B,93.27204,375.74408,95.0,93.0,91.74408,,96.0,390,96.0
08A,95.94633,381.09267,94.0,94.0,97.09267,96.0,,391,96.0
08B,92.675,372.5,95.0,93.5,92.0,92.0,,392,92.0
08C,92.12531,371.88082,93.99,95.196,90.69482,92.0,,393,92.0
08D,89.92087,360.7365,91.995,90.9975,89.744,88.0,,394,88.0
08B,97.37312,389.37725,97.0,95.33,97.04725,100.0,,395,100.0
08A,94.59666,375.99333,94.0,94.0,95.99333,92.0,,396,92.0
08C,90.63293,365.93625,94.294,94.09225,89.55,,88.0,397,88.0
08D,94.54591,380.38483,95.99333,94.99667,93.39483,96.0,,398,96.0
08B,92.99646,377.57392,98.0,96.83,90.74392,92.0,,399,92.0
08A,94.225,374.45,90.0,90.0,94.45,100.0,,400,100.0
08B,90.34674,362.69348,95.0,93.0,90.69348,84.0,,401,84.0
08C,93.20369,365.79442,94.0,93.69575,98.09867,80.0,,402,80.0
08B,91.94586,370.15373,95.0,95.66,91.49373,88.0,,403,88.0
08D,93.8215,381.336,95.99333,94.99667,90.346,100.0,,404,100.0
08A,86.99843,357.59686,90.0,90.0,81.59686,96.0,,405,96.0
08A,52.0,52.0,,,,52.0,,406,52.0
08D,94.44862,375.9955,94.0,90.9975,94.998,96.0,,407,96.0
08C,90.32631,361.43517,95.29567,94.39367,91.74583,80.0,,408,80.0
08B,90.79638,367.67377,97.0,96.83,89.84377,84.0,,409,84.0
08C,83.08671,334.98887,92.5935,80.0,82.39537,80.0,,410,80.0
08A,94.3,373.0,94.0,94.0,97.0,88.0,,411,88.0
08C,85.99168,331.38801,88.29567,87.99667,95.09567,60.0,,412,60.0
21A,92.39733,368.79467,92.0,92.0,92.79467,92.0,,413,92.0
09C,91.4748,359.58167,93.1945,93.99417,96.393,76.0,,414,76.0
09D,95.29168,378.88941,90.796,92.49833,95.59508,100.0,,415,100.0
09A,85.71093,350.58733,87.99352,89.1,81.49381,,92.0,416,92.0
09B,92.65307,374.69207,93.99417,97.7,90.9979,92.0,,417,92.0
09C,90.84708,356.99417,90.0,85.0,93.99417,,88.0,418,88.0
09A,92.56512,371.43126,94.79383,92.49333,92.1441,92.0,,419,92.0
09D,91.38651,372.09075,97.0,94.59675,88.494,92.0,,420,92.0
21A,94.58756,380.1397,93.993,93.09925,93.04745,100.0,,421,100.0
09A,93.50208,381.89417,98.0,94.7,89.19417,100.0,,422,100.0
09B,91.1245,362.04667,90.0,87.99667,92.05,92.0,,423,92.0
09D,90.19775,361.58968,89.698,90.29368,89.598,92.0,,424,92.0
09B,97.31799,386.79092,93.89275,94.9,97.99817,,100.0,425,100.0
09C,95.47205,388.1441,98.0,98.0,92.1441,100.0,,426,100.0
09B,87.17396,345.94793,90.0,90.0,89.94793,76.0,,427,76.0
09B,93.07285,373.94221,91.995,94.0,91.94721,96.0,,428,96.0
09A,91.81985,373.5292,91.995,96.99,88.5442,96.0,,429,96.0
09C,92.19541,372.58207,95.99333,93.99417,90.59457,92.0,,430,92.0
09A,92.07675,365.79251,88.09857,89.1,92.59394,96.0,,431,96.0
09A,91.32138,365.28927,92.49833,92.99667,91.79427,88.0,,432,88.0
09A,92.4163,365.58427,90.39143,92.39667,94.79617,88.0,,433,88.0
09A,90.28691,365.59282,88.5,90.09857,86.99425,100.0,,434,100.0
09D,90.34775,363.5435,90.0,85.49714,88.04636,100.0,,435,100.0
09B,94.79928,375.99857,90.0,94.0,95.99857,96.0,,436,96.0
09C,92.86545,376.48309,93.99417,92.79467,89.69425,100.0,,437,100.0
09C,95.32058,383.63242,95.99333,93.99417,93.64492,100.0,,438,100.0
09A,92.99018,374.3311,93.29675,93.49,91.54435,96.0,,439,96.0
09D,90.89668,364.739,90.49875,91.995,90.24525,92.0,,440,92.0
09B,89.69707,361.89181,87.99667,87.0,86.89514,,100.0,441,100.0
09B,87.42297,356.04595,90.0,90.0,84.04595,92.0,,442,92.0
09B,90.86828,363.79508,90.0,87.79786,89.99722,96.0,,443,96.0
09A,92.97034,374.78206,92.1955,95.29217,91.29439,,96.0,444,96.0
09C,84.87385,357.14421,91.995,90.0,75.14921,100.0,,445,100.0
09D,88.51097,364.58483,92.1945,96.89533,83.495,92.0,,446,92.0
09B,93.22832,371.19525,90.0,88.198,92.99725,100.0,,447,100.0
09D,87.26242,346.84214,89.997,87.59914,89.246,,80.0,448,80.0
09D,93.52677,380.539,98.1,92.5935,89.8455,100.0,,449,100.0
09D,87.14244,343.59112,89.29533,83.99929,90.2965,80.0,,450,80.0
09C,90.67022,362.88203,86.49381,93.99417,90.39405,92.0,,451,92.0
09C,90.04503,364.48191,93.1945,94.79383,88.49358,88.0,,452,88.0
09A,92.88634,372.88441,90.29624,91.29192,91.29625,100.0,,453,100.0
09D,85.52551,347.88167,89.693,87.49362,82.69505,88.0,,454,88.0
09A,97.54413,387.59542,96.0,93.29592,98.2995,100.0,,455,100.0
09D,90.44838,361.04422,90.5985,87.89786,90.54786,92.0,,456,92.0
09D,87.99587,352.14,90.9975,95.5,89.6425,76.0,,457,76.0
20A,93.32155,374.09119,93.198,92.29925,92.59394,96.0,,458,96.0
09B,93.52207,379.03482,95.99333,95.99333,91.04816,96.0,,459,96.0
09C,93.59712,376.09017,93.99417,97.0,93.096,92.0,,460,92.0
09D,91.29785,363.1422,90.49875,91.99625,92.6472,,88.0,461,88.0
20A,95.71256,383.79069,96.0,93.09367,94.69702,100.0,,462,100.0
09D,92.39621,372.58794,91.29675,94.69683,90.59436,96.0,,463,96.0
09C,82.79664,343.63895,86.49381,89.0,76.14514,92.0,,464,92.0
09C,96.91145,389.6915,98.098,96.0,95.5935,100.0,,465,100.0
09B,93.6294,375.196,98.0,88.196,93.0,96.0,,466,96.0
09D,90.398,363.346,90.0,88.5,88.846,96.0,,467,96.0
09C,91.35993,365.83124,94.79383,94.79383,92.24358,,84.0,468,84.0
09A,89.59188,356.08982,88.09857,89.19579,90.79546,88.0,,469,88.0
09C,90.21151,350.68917,91.0945,87.0,96.59467,76.0,,470,76.0
09B,85.72196,341.03693,91.995,91.995,89.04693,68.0,,471,68.0
09C,95.123,375.54212,88.99445,90.0,96.54767,100.0,,472,100.0
10B,84.12357,334.49714,99.5,90.0,88.99714,,56.0,473,56.0
10A,89.22277,356.64554,93.0,93.0,90.64554,80.0,,474,80.0
10D,92.72147,373.187,91.995,90.4965,90.6955,100.0,,475,100.0
10B,93.525,371.2,99.5,95.0,96.7,80.0,,476,80.0
10D,97.84933,389.39867,94.0,97.0,98.39867,100.0,,477,100.0
10B,98.625,394.8,99.5,97.0,98.3,100.0,,478,100.0
10C,94.9,378.65,93.8,93.7,95.15,96.0,,479,96.0
10A,93.67383,367.94767,96.0,90.0,97.94767,84.0,,480,84.0
10C,85.69,350.0,93.8,92.8,83.4,80.0,,481,80.0
10D,95.5205,379.834,91.995,91.995,95.844,100.0,,482,100.0
10A,91.24733,369.99467,96.0,93.0,88.99467,92.0,,483,92.0
10D,96.51388,383.29567,94.0,92.097,97.19867,100.0,,484,100.0
10A,96.09866,381.79733,96.0,96.0,97.79733,92.0,,485,92.0
10C,91.195,360.8,93.8,92.5,94.5,80.0,,486,80.0
10C,95.22,382.6,94.6,94.2,93.8,100.0,,487,100.0
10D,92.28035,375.73803,94.0,93.39617,88.34186,100.0,,488,100.0
10D,92.42617,372.085,91.995,93.1945,90.8955,96.0,,489,96.0
10C,92.14,371.5,94.3,94.3,90.9,92.0,,490,92.0
10B,96.4215,386.593,99.5,95.0,96.093,96.0,,491,96.0
10D,92.32047,369.28675,91.995,89.499,91.79275,96.0,,492,96.0
10A,93.62316,372.94633,93.0,90.0,93.94633,96.0,,493,96.0
10C,95.56,383.49,95.1,94.0,94.39,,100.0,494,100.0
10C,93.235,370.8,94.8,93.1,94.9,88.0,,495,88.0
10B,89.222,358.794,99.5,93.0,90.294,76.0,,496,76.0
10A,93.89762,373.19525,96.0,90.0,95.19525,92.0,,497,92.0
10B,94.57146,378.09292,99.5,95.0,95.59292,88.0,,498,88.0
10A,96.3735,382.647,93.0,96.0,97.647,96.0,,499,96.0
10A,97.77383,389.94767,99.0,93.0,97.94767,,100.0,500,100.0
10B,92.42312,371.29625,99.5,88.0,91.79625,92.0,,501,92.0
21A,89.72221,362.44443,93.0,93.0,88.44443,88.0,,502,88.0
10D,92.36069,373.93544,92.5965,91.995,89.34394,,100.0,503,100.0
10C,91.46,362.4,91.2,93.2,94.0,84.0,,504,84.0
10C,87.27,346.8,95.6,92.2,91.0,68.0,,505,68.0
10D,94.45697,377.288,91.995,91.3965,93.8965,100.0,,506,100.0
10C,91.925,368.2,91.2,93.3,91.7,92.0,,507,92.0
10D,96.03254,386.04508,94.0,97.4,94.64508,100.0,,508,100.0
10B,95.57196,386.59392,99.5,94.0,93.09392,100.0,,509,100.0
10C,93.97,377.0,93.8,94.0,93.2,96.0,,510,96.0
10A,91.19693,371.99386,96.0,96.0,87.99386,92.0,,511,92.0
10B,89.3985,351.297,100.0,95.0,96.297,60.0,,512,60.0
10B,98.94933,396.14867,99.5,98.0,98.64867,100.0,,513,100.0
10A,95.64966,376.69933,93.0,93.0,98.69933,92.0,,514,92.0
10D,97.26213,387.93867,93.192,97.4,97.34667,100.0,,515,100.0
10B,90.07225,360.1945,99.5,96.0,92.6945,,72.0,516,72.0
10B,97.69716,392.94433,99.5,97.0,96.44433,100.0,,517,100.0
10C,90.245,357.2,93.8,93.5,93.9,76.0,,518,76.0
10A,89.19702,365.59405,96.0,96.0,85.59405,88.0,,519,88.0
10D,93.84883,374.49486,93.998,93.998,94.49886,92.0,,520,92.0
10D,95.64765,378.7875,92.9955,95.99333,97.79867,92.0,,521,92.0
10D,94.86111,378.93592,93.1945,91.3965,94.34492,100.0,,522,100.0
10A,93.7735,373.247,93.0,90.0,94.247,,96.0,523,96.0
10D,87.74725,350.891,91.995,90.0,88.896,80.0,,524,80.0
10C,90.81,376.3,97.2,95.2,83.9,100.0,,525,100.0
10B,98.0735,393.697,99.5,97.0,97.197,100.0,,526,100.0
10A,88.97199,358.54398,96.0,90.0,88.54398,84.0,,527,84.0
10B,91.67183,362.69367,99.5,95.0,96.19367,72.0,,528,72.0
10C,88.92,358.6,91.2,91.6,87.8,88.0,,529,88.0
10B,98.22883,394.84767,99.7,98.0,97.14767,100.0,,530,100.0
11D,90.73,368.0,94.5,89.7,87.8,96.0,,531,96.0
11B,89.2832,355.728,91.995,89.093,90.64,84.0,,532,84.0
11A,94.07,374.93184,92.99667,94.99167,94.9435,92.0,,533,92.0
11B,92.12149,372.03948,91.995,94.0,90.04448,96.0,,534,96.0
11B,94.64579,377.08808,91.995,94.0,95.09308,96.0,,535,96.0
11C,90.06983,369.73033,95.99333,95.99333,85.74367,92.0,,536,92.0
11D,97.495,389.95,95.5,97.3,97.15,100.0,,537,100.0
11C,94.36983,380.73033,95.99333,95.99333,92.74367,96.0,,538,96.0
11D,86.165,360.25,95.5,94.1,78.65,,92.0,539,92.0
11C,93.14608,373.084,95.99333,91.995,93.09567,92.0,,540,92.0
11C,91.82008,375.232,95.99333,91.995,87.24367,100.0,,541,100.0
11A,83.24572,335.73562,95.196,88.29567,84.24395,,68.0,542,68.0
11A,92.43202,363.6395,90.9975,92.396,96.246,84.0,,543,84.0
11D,82.275,324.15,95.0,85.0,88.15,56.0,,544,56.0
11D,90.49,366.95,98.0,99.1,89.85,80.0,,545,80.0
11C,92.49524,374.18233,95.99333,91.995,90.194,96.0,,546,96.0
11A,90.01193,352.94068,86.09829,85.49714,93.34525,88.0,,547,88.0
11B,87.97455,351.18,91.995,93.192,89.993,76.0,,548,76.0
11B,89.19491,357.58283,91.995,91.995,89.59283,84.0,,549,84.0
11A,94.46158,375.43617,92.394,95.196,95.84617,92.0,,550,92.0
11B,91.79559,369.98419,91.995,91.995,89.99419,96.0,,551,96.0
11D,97.425,387.9,96.5,97.0,98.4,96.0,,552,96.0
11A,98.615,394.15,97.6,98.0,98.55,100.0,,553,100.0
11B,86.61067,349.38592,91.995,91.09725,86.29367,80.0,,554,80.0
11A,89.88092,370.33648,98.0,95.39233,84.94415,92.0,,555,92.0
11B,94.18901,375.27916,91.995,89.29233,93.99183,100.0,,556,100.0
11C,97.07183,390.639,99.0,95.99333,95.64567,100.0,,557,100.0
11C,95.07142,384.23819,95.99333,99.0,93.24486,96.0,,558,96.0
11D,97.36,383.1,94.5,88.9,99.7,100.0,,559,100.0
11A,82.14411,338.5806,91.995,84.9941,77.5915,84.0,,560,84.0
11C,89.44533,358.4825,95.99333,91.995,90.49417,80.0,,561,80.0
11A,94.19741,370.28666,91.995,88.99333,97.29833,92.0,,562,92.0
11A,94.43215,375.24,93.1945,94.19933,95.84617,92.0,,563,92.0
11B,91.79546,365.18392,91.995,91.995,93.19392,88.0,,564,88.0
11D,90.74,364.55,94.5,91.6,90.45,88.0,,565,88.0
11D,95.715,380.75,95.5,96.1,97.15,92.0,,566,92.0
11C,97.37199,391.23933,95.99333,99.0,96.246,100.0,,567,100.0
11D,90.06,362.05,93.0,94.9,90.15,84.0,,568,84.0
11A,96.11246,384.98933,95.495,97.597,95.89733,96.0,,569,96.0
11C,88.87002,372.13072,95.99333,95.99333,80.14406,100.0,,570,100.0
11A,97.93243,389.48601,95.59167,95.29567,98.59867,,100.0,571,100.0
11B,93.32698,366.33534,94.99667,89.691,97.64767,,84.0,572,84.0
11B,93.69971,375.32858,93.69075,92.49375,93.14408,96.0,,573,96.0
11B,89.57526,360.93242,96.79067,90.89775,89.244,84.0,,574,84.0
11B,88.64549,355.08048,91.995,89.99,89.09548,84.0,,575,84.0
11B,93.87083,374.13467,91.995,91.995,94.14467,,96.0,576,96.0
11A,92.15506,362.37892,92.394,89.99,95.99492,84.0,,577,84.0
11C,92.72083,379.537,99.0,95.99333,88.54367,,96.0,578,96.0
11C,92.82066,372.43316,95.99333,91.995,92.44483,92.0,,579,92.0
11D,91.815,361.9,94.0,92.1,95.8,80.0,,580,80.0
11D,96.335,384.95,97.5,94.9,96.55,96.0,,581,96.0
11C,96.77116,390.03766,95.99333,99.0,95.04433,100.0,,582,100.0
11D,95.435,383.2,97.0,98.9,95.3,92.0,,583,92.0
11A,91.84678,362.28891,95.99333,94.0,96.29558,76.0,,584,76.0
11D,98.82,394.7,97.5,98.3,98.9,100.0,,585,100.0
11D,92.71,379.1,99.0,95.4,88.7,96.0,,586,96.0
11A,95.28635,383.99014,94.19933,96.397,93.39381,100.0,,587,100.0
11C,95.19652,384.48839,95.99333,99.0,93.49506,96.0,,588,96.0
11B,87.73533,347.83227,91.995,89.093,90.74427,76.0,,589,76.0
12A,84.33,323.35,94.0,92.7,96.65,,40.0,590,40.0
12C,96.8,387.0,97.0,97.0,97.0,96.0,,591,96.0
12C,88.9,367.0,94.0,94.0,83.0,96.0,,592,96.0
12B,90.19705,362.6941,93.0,92.0,89.6941,88.0,,593,88.0
12B,88.37225,350.1445,93.0,93.0,92.1445,72.0,,594,72.0
12A,97.0,390.5,97.0,98.0,95.5,100.0,,595,100.0
12C,95.8,385.0,96.0,98.0,95.0,96.0,,596,96.0
12B,85.42181,336.34362,93.0,92.0,91.34362,60.0,,597,60.0
12A,88.1783,351.5466,90.0,91.7,89.8466,80.0,,598,80.0
12A,97.0,390.5,97.0,98.0,95.5,100.0,,599,100.0
12A,97.5,390.5,99.0,98.0,97.5,96.0,,600,96.0
12D,97.635,388.9,96.5,94.4,98.0,100.0,,601,100.0
12C,93.4,367.0,92.0,90.0,97.0,88.0,,602,88.0
12D,91.14,373.0,98.0,95.6,87.4,92.0,,603,92.0
12A,97.0,389.5,98.0,99.0,96.5,96.0,,604,96.0
12A,97.15,392.2,99.0,98.0,95.2,100.0,,605,100.0
12D,91.14,361.2,95.0,88.6,93.6,84.0,,606,84.0
12B,91.70183,367.24367,93.0,94.2,92.04367,88.0,,607,88.0
12B,90.9323,367.84461,93.0,90.4,88.44461,96.0,,608,96.0
12C,91.95,368.0,99.0,92.0,93.0,84.0,,609,84.0
12B,95.49671,385.39343,96.0,96.0,93.39343,100.0,,610,100.0
12A,93.3,383.1,98.0,97.0,88.1,100.0,,611,100.0
12C,94.1,375.0,94.0,94.0,95.0,92.0,,612,92.0
12B,94.69696,378.59392,93.0,95.0,94.59392,96.0,,613,96.0
12D,95.785,377.9,92.5,91.4,98.0,,96.0,614,96.0
12A,94.485,372.3,95.5,94.4,98.4,,84.0,615,84.0
12D,94.205,373.7,98.0,94.7,97.0,84.0,,616,84.0
12A,98.16,392.4,100.0,94.4,98.0,100.0,,617,100.0
12B,90.79707,362.89414,93.0,94.0,91.89414,84.0,,618,84.0
12A,98.485,389.9,95.5,94.4,100.0,100.0,,619,100.0
12B,91.94208,366.74417,93.0,92.8,92.94417,88.0,,620,88.0
12B,92.32176,372.14352,93.0,96.0,91.14352,,92.0,621,92.0
12A,97.59,388.6,96.0,94.6,98.0,100.0,,622,100.0
12B,97.44362,389.84725,96.0,96.8,97.04725,100.0,,623,100.0
12C,92.3,372.0,92.0,90.0,90.0,100.0,,624,100.0
12C,95.15,382.0,99.0,96.0,95.0,92.0,,625,92.0
12D,97.48,390.2,96.5,96.7,97.0,100.0,,626,100.0
12C,98.3,391.0,96.0,96.0,99.0,,100.0,627,100.0
12D,91.785,371.6,96.5,86.4,88.7,100.0,,628,100.0
12B,96.57262,386.14525,93.0,97.0,96.14525,100.0,,629,100.0
12D,95.135,375.9,95.0,87.9,97.0,96.0,,630,96.0
12D,90.955,374.0,95.0,93.7,85.3,100.0,,631,100.0
12A,95.0,379.0,100.0,98.0,97.0,84.0,,632,84.0
12C,92.3,378.0,96.0,98.0,88.0,96.0,,633,96.0
12B,93.90715,377.59431,93.0,92.4,92.19431,100.0,,634,100.0
12A,93.855,376.05,95.5,94.7,93.85,92.0,,635,92.0
12C,88.9,358.0,92.0,90.0,88.0,88.0,,636,88.0
12D,89.855,362.5,95.0,90.7,88.8,88.0,,637,88.0
12D,82.09,325.9,92.5,87.1,86.3,60.0,,638,60.0
12C,91.3,367.0,94.0,94.0,91.0,,88.0,639,88.0
12A,92.7935,374.997,93.0,95.3,90.697,96.0,,640,96.0
12D,95.745,378.1,95.0,89.3,97.8,96.0,,641,96.0
12D,96.055,387.7,97.0,96.7,94.0,100.0,,642,100.0
12C,94.1,384.0,98.0,96.0,90.0,100.0,,643,100.0
12C,88.85,348.0,95.0,90.0,95.0,68.0,,644,68.0
12D,97.98,391.2,96.5,96.7,98.0,100.0,,645,100.0
12C,93.5,372.0,92.0,90.0,94.0,96.0,,646,96.0
12B,90.89713,363.79427,93.0,95.0,91.79427,84.0,,647,84.0
13B,97.09716,394.19433,100.0,100.0,94.19433,100.0,,648,100.0
13A,95.0,390.0,100.0,100.0,90.0,,100.0,649,100.0
13A,92.57961,366.19745,93.1,90.09745,95.0,88.0,,650,88.0
13A,95.15815,378.79391,95.19829,95.19829,96.39733,92.0,,651,92.0
13A,89.51333,354.39488,90.09745,85.0,91.29743,88.0,,652,88.0
13B,92.49696,372.09392,92.0,93.0,91.09392,96.0,,653,96.0
13D,94.92312,378.63925,91.995,91.995,94.64925,100.0,,654,100.0
13C,81.58956,325.4326,94.0,89.79067,85.64193,56.0,,655,56.0
13C,92.79725,374.7945,94.0,94.0,90.7945,96.0,,656,96.0
13C,92.08565,370.33588,94.0,93.09225,91.24363,92.0,,657,92.0
13C,90.28535,368.43004,93.192,92.89275,86.34529,96.0,,658,96.0
13A,95.49475,372.29835,88.29835,85.0,99.0,100.0,,659,100.0
13B,87.12221,341.34442,87.0,90.0,92.34442,72.0,,660,72.0
13D,93.46178,376.23751,94.99667,96.59467,92.64617,92.0,,661,92.0
13B,94.09704,374.19408,90.0,90.0,94.19408,100.0,,662,100.0
13C,88.73979,350.97797,93.09225,86.19114,91.69458,80.0,,663,80.0
13A,90.28813,364.89417,84.5,93.097,87.29717,100.0,,664,100.0
13D,89.53588,356.68652,96.097,92.4955,92.09402,76.0,,665,76.0
13D,97.3926,385.88867,94.197,93.09367,98.598,100.0,,666,100.0
13A,95.82383,377.69531,95.19829,88.29835,98.19867,96.0,,667,96.0
13B,95.34741,380.19483,90.0,95.0,95.19483,100.0,,668,100.0
13A,86.99847,343.39695,85.0,85.0,89.39695,84.0,,669,84.0
13A,90.51414,363.29829,85.0,93.1,89.19829,96.0,,670,96.0
13A,83.24687,340.69374,85.0,85.0,78.69374,,92.0,671,92.0
13D,84.96079,337.48531,91.49625,89.59479,88.39427,68.0,,672,68.0
13D,94.94185,387.99138,97.99667,99.3,90.69471,100.0,,673,100.0
13C,91.03976,364.58025,93.09225,92.1945,91.2935,88.0,,674,88.0
13C,90.39691,364.49383,97.0,90.0,89.49383,88.0,,675,88.0
13D,89.86085,363.08436,91.995,91.0945,87.99486,92.0,,676,92.0
13D,95.59725,383.13669,95.99333,92.4955,94.64786,100.0,,677,100.0
13C,94.22609,379.48658,93.192,94.0,92.29458,100.0,,678,100.0
13A,94.87907,374.39696,100.0,95.19829,99.19867,80.0,,679,80.0
13D,96.39243,390.89253,97.99667,99.3,93.59586,100.0,,680,100.0
13B,91.19685,372.99371,95.0,95.0,86.99371,96.0,,681,96.0
13B,89.64695,364.9939,90.0,93.0,85.9939,96.0,,682,96.0
20A,97.7171,389.68534,95.29567,96.49167,97.898,100.0,,683,100.0
13D,92.69155,369.23737,94.197,89.59479,93.44558,92.0,,684,92.0
13B,92.9975,371.995,90.0,90.0,91.995,100.0,,685,100.0
13C,97.774,388.948,97.0,97.0,98.948,,96.0,686,96.0
13D,92.86632,371.9869,94.197,89.59479,92.19511,96.0,,687,96.0
13C,92.30146,363.885,91.197,89.49167,95.19633,88.0,,688,88.0
13A,94.20835,383.4925,98.197,98.197,91.0985,96.0,,689,96.0
13B,97.47383,387.94767,95.0,95.0,97.94767,,100.0,690,100.0
13C,93.37033,373.93134,95.794,96.19267,93.94467,88.0,,691,88.0
13C,89.37266,350.64533,90.0,87.0,93.64533,80.0,,692,80.0
13C,95.7503,379.735,93.192,90.0,96.543,100.0,,693,100.0
13D,94.46713,386.04427,100.0,99.3,90.74427,96.0,,694,96.0
13B,91.1971,371.5942,93.0,95.0,87.5942,96.0,,695,96.0
13B,97.02241,389.84483,100.0,94.0,95.84483,,100.0,696,100.0
13B,95.49771,385.39542,97.0,95.0,93.39542,100.0,,697,100.0
13C,89.49795,365.0959,97.0,90.0,86.0959,92.0,,698,92.0
13A,95.94429,381.29529,93.097,95.19829,97.0,96.0,,699,96.0
13A,82.82825,337.39293,90.09745,90.09745,81.19803,76.0,,700,76.0
13B,83.39702,340.59405,95.0,95.0,82.59405,68.0,,701,68.0
13D,87.62064,361.98543,94.99667,89.49495,81.49381,96.0,,702,96.0
13D,90.11671,359.28675,92.79467,90.99579,91.49629,,84.0,703,84.0
13A,85.68865,335.79499,88.29835,88.29835,91.19829,68.0,,704,68.0
13D,95.14234,385.99236,97.99667,99.3,92.69569,96.0,,705,96.0
13B,98.97383,397.94767,100.0,100.0,97.94767,100.0,,706,100.0
14B,94.55932,378.3355,92.8,91.7955,93.74,100.0,,707,100.0
14C,85.62,342.14,94.0,85.0,87.14,76.0,,708,76.0
14B,93.2922,373.18881,90.0,94.292,92.89681,96.0,,709,96.0
14C,92.37,380.19,98.5,95.0,86.69,100.0,,710,100.0
14A,92.89966,377.09933,96.0,95.0,90.09933,96.0,,711,96.0
14C,97.795,394.19,100.0,98.0,96.19,100.0,,712,100.0
14B,93.82772,365.5895,90.89775,91.29375,99.398,84.0,,713,84.0
14B,86.18117,352.49042,90.8,91.09725,82.59317,88.0,,714,88.0
14C,89.12,364.04,96.0,94.0,86.04,88.0,,715,88.0
14D,91.62101,373.18433,96.697,95.792,88.69533,92.0,,716,92.0
14B,80.05538,318.98774,90.0,92.39567,84.59207,52.0,,717,52.0
14C,97.45,387.6,96.0,97.0,98.6,96.0,,718,96.0
14A,95.42275,380.7455,95.0,94.0,95.7455,96.0,,719,96.0
14C,92.02,379.14,98.0,95.0,86.14,100.0,,720,100.0
14A,91.19696,380.29393,98.0,99.0,83.29393,100.0,,721,100.0
14A,92.94585,373.09171,97.0,95.0,93.09171,88.0,,722,88.0
20A,96.95868,387.94667,97.599,97.3,97.04767,96.0,,723,96.0
14B,98.42855,394.895,99.0,98.197,97.698,100.0,,724,100.0
14A,95.8485,381.297,96.0,96.0,97.297,92.0,,725,92.0
14A,88.94885,365.39771,95.0,94.0,84.39771,92.0,,726,92.0
14D,92.48566,368.28608,91.0945,88.498,92.69358,96.0,,727,96.0
14D,88.73023,359.98225,91.89325,89.995,86.094,92.0,,728,92.0
14C,95.52,380.24,94.0,94.0,96.24,96.0,,729,96.0
14C,97.0245,387.049,96.0,94.0,97.049,,100.0,730,100.0
14C,86.82,358.04,98.0,90.0,82.04,,88.0,731,88.0
14D,97.6828,391.09117,97.49667,96.397,97.1975,100.0,,732,100.0
14A,83.72125,351.8425,95.0,93.0,75.8425,,88.0,733,88.0
21A,93.92534,380.33462,96.698,95.99333,91.64329,96.0,,734,96.0
14A,97.65,389.7,96.0,96.0,97.7,,100.0,735,100.0
14A,95.92425,387.3485,97.0,100.0,94.3485,96.0,,736,96.0
14B,88.89525,363.63817,96.49667,97.0,86.1415,,84.0,737,84.0
14B,85.55653,340.54003,87.99667,88.899,87.64436,76.0,,738,76.0
14A,94.69771,379.99542,95.0,95.0,93.99542,96.0,,739,96.0
14A,93.39925,371.4985,93.0,92.0,94.4985,92.0,,740,92.0
14C,85.12,340.14,94.0,87.0,87.14,72.0,,741,72.0
14C,86.545,349.19,94.0,89.0,86.19,80.0,,742,80.0
14C,93.97,369.94,94.0,94.0,97.94,84.0,,743,84.0
21A,96.94733,387.93884,94.99167,96.5,96.44717,100.0,,744,100.0
14D,95.50881,381.3255,95.59267,93.99,95.74283,96.0,,745,96.0
14B,95.6316,382.1355,95.99333,94.39567,95.7465,96.0,,746,96.0
14A,96.12225,383.5445,96.0,95.0,96.5445,96.0,,747,96.0
14B,96.916,392.992,99.0,99.8,94.192,100.0,,748,100.0
14B,97.56837,389.38917,95.29717,96.492,97.6,,100.0,749,100.0
14C,93.12,370.59,94.5,90.0,94.09,92.0,,750,92.0
