SG,Wt_total,Total_pts,CTGL_1,CTGL_2,Essay,BB_exam_us,BB_exam_ims,student_key,Combined_Scores
02D,95.72296,383.04592,94.0,94.0,95.04592,100.0,,88,100.0
02D,93.49755,376.19511,94.0,94.0,92.19511,96.0,,89,96.0
02B,94.05,379.0,95.0,92.0,92.0,100.0,,90,100.0
02C,94.6,378.0,94.0,90.0,94.0,100.0,,91,100.0
02A,91.70522,368.68308,92.79467,89.59479,90.29362,96.0,,92,96.0
02B,89.5,362.0,92.0,94.0,88.0,88.0,,93,88.0
02D,92.04761,373.99523,95.0,94.0,88.99523,96.0,,94,96.0
02C,94.2,372.0,90.0,90.0,96.0,96.0,,95,96.0
02A,91.70035,369.63278,93.99417,93.1945,90.44411,92.0,,96,92.0
02A,90.41586,360.18586,92.79467,87.99695,91.39424,88.0,,97,88.0
02B,92.35,377.0,95.0,94.0,88.0,100.0,,98,100.0
20A,91.47276,376.34552,98.0,96.0,86.34552,96.0,,99,96.0
02B,92.15,363.0,88.0,85.0,94.0,96.0,,100,96.0
02D,89.82321,363.54643,89.0,88.0,86.54643,,100.0,101,100.0
02C,92.3,370.0,92.0,94.0,92.0,92.0,,102,92.0
02C,93.0,370.0,92.0,92.0,94.0,,92.0,103,92.0
02D,95.79866,379.79733,94.0,96.0,97.79733,,92.0,104,92.0
02C,93.2,368.0,94.0,90.0,96.0,88.0,,105,88.0
02A,91.09022,368.53147,94.79383,95.99333,89.74431,,88.0,106,88.0
02A,90.96617,369.53629,92.79467,89.49667,87.24495,100.0,,107,100.0
02C,87.6,356.0,88.0,88.0,84.0,96.0,,108,96.0
02B,89.8,356.0,92.0,88.0,92.0,84.0,,109,84.0
02B,95.55,382.0,97.0,90.0,95.0,100.0,,110,100.0
02B,89.4,358.0,92.0,92.0,90.0,84.0,,111,84.0
20A,97.12291,388.64583,97.0,95.0,96.64583,100.0,,112,100.0
02D,91.1971,372.59421,91.0,95.0,86.59421,100.0,,113,100.0
02A,83.63997,331.23014,94.39067,88.39533,88.44414,60.0,,114,60.0
02D,90.97179,370.14358,95.0,95.0,88.14358,92.0,,115,92.0
02A,90.89553,366.1829,93.99417,93.99417,90.19456,,88.0,116,88.0
02C,95.7,383.0,94.0,94.0,95.0,100.0,,117,100.0
02B,94.05,376.0,98.0,95.0,95.0,,88.0,118,88.0
04A,92.88263,372.43757,91.995,92.394,92.04857,,96.0,119,96.0
04A,85.12074,350.48187,92.49375,92.9925,80.99562,,84.0,120,84.0
04B,94.03785,373.54379,92.0,94.09725,95.44654,92.0,,121,92.0
04B,94.7924,374.185,93.095,95.191,97.899,88.0,,122,88.0
04A,95.38825,384.94417,98.0,97.09667,93.8475,96.0,,123,96.0
04B,90.5918,370.5915,94.0,94.297,86.2945,96.0,,124,96.0
04C,95.53306,380.19192,94.49833,93.39567,96.29792,,96.0,125,96.0
04C,90.05054,356.13316,95.99333,97.19533,94.9445,68.0,,126,68.0
04C,90.38775,362.79225,94.49833,90.097,90.19692,88.0,,127,88.0
04C,95.94833,388.39667,97.0,98.0,93.39667,100.0,,128,100.0
04C,90.50043,365.18749,94.49833,93.19683,89.49233,88.0,,129,88.0
04B,93.52655,379.8896,96.1985,96.9965,90.6946,96.0,,130,96.0
04A,95.998,388.49367,100.0,94.99667,93.497,100.0,,131,100.0
04C,84.62444,360.84888,94.0,94.0,72.84888,100.0,,132,100.0
04D,91.42621,364.63834,93.99417,93.7,92.94417,84.0,,133,84.0
04B,94.56143,378.38617,94.09392,93.9965,94.29575,96.0,,134,96.0
04C,95.94824,382.19183,97.0,95.99333,97.1985,92.0,,135,92.0
04D,94.76275,378.49085,95.99333,95.1,95.39752,92.0,,136,92.0
04A,96.40796,383.69033,95.99333,94.39867,97.29833,96.0,,137,96.0
04C,93.01613,371.98708,94.49833,92.29425,93.1945,92.0,,138,92.0
